Neil Gorsuch|To some lawyers, all facts are created equal.
Kareena Kapoor Khan|I've always wanted to be an actress, ever since I was a little girl. I've always played the mom and I play my sister as the daughter. I wanted to be an actress on television and movies instead of just around the house.
Gosho Aoyama, Meitantei Konan|When humans were young, they were pushed around in strollers. When they were old, they were pushed around in wheelchairs. In between, they were just pushed around.
Rachel Walden|Winners aren't those who lose the least, but rather those who learn the most from their losses on their way to victory.
Hal Zina Bennett, Spirit Circle|A memoir, at its heart, is written in order to figure out who you are.
Severo Ochoa|What my father gave me more than anything else is great tutoring and a great brain, frankly. You know, my father's brother was a top person at MIT, went to MIT, graduated from MIT, was a teacher at MIT, a professor at MIT, a great engineer. I mean, you know, I have very good genes.
Cormac McCarthy, Suttree|In my father's last letter he said that the world is run by those willing to take the responsibility for the running of it. If it is life that you feel you are missing I can tell you where to find it. In the law courts, in business, in government. There is nothing occurring in the streets. Nothing but a dumbshow composed of the helpless and the impotent.
William Hurt|When I turned 25, something changed in me. I see children in my future 100%. Soon. I started thinking I want my kids to look back and say, 'Wasn't Mummy amazing?' I've really started thinking about what I'm leaving for them.
Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|A mere four giant meatpacking companies (Tyson subsidiary IBP, Cargill subsidiary Excel, Swift & Company, and National) now slaughter and market four of every five beef cattle born in this country
Ethan Hawke|We now live in a world where the only thing to have is success, but failure is marvelous. It's fertiliser, it's like living fertiliser, because you're forced on yourself.
Maxwell Maltz|I grew up in Sierra Leone, in a small village where as a boy my imagination was sparked by the oral tradition of storytelling. At a very young age I learned the importance of telling stories - I saw that stories are the most potent way of seeing anything we encounter in our lives, and how we can deal with living.
Mercy Cortez|What if I say no?""I keep asking till the only option is yes. I always win, Ms. Payne.
Miles Anthony Smith, Becoming Generation Flux: Why Traditional Career Planning is Dead: How to be Agile, Adapt to Ambiguity, and Develop Resilience|If you have no job, help is needed.
DaShanne Stokes|We owe our loyalty to each other and to our children's children, not to party politics.
Robin    Black|Before, I could only guess oh who I was. Now, thanks to my art, I know who I am.
|No other version, no matter how perfect it is, would ever feel better than being your true self.
Mary Wollstonecraft, A Vindication of the Rights of Woman|The little respect paid to chastity in the male world is, I am persuaded, the grand source of many of the physical and moral evils that torment mankind, as well as of the vices and follies that degrade and destroy women; yet, at school, boys infallibly lose that decent bashfulness, which might have ripened into modesty at home.
Erich Fromm, The Revolution of Hope: Toward a Humanized Technology|What holds true for the individual holds true for a society. It is never static; if it does not grow, it decays; if it does not transcend the status quo for the better, it changes for the worse. Often we, the individual or the people who make up a society, have the illusion we could stand still and not alter the given situation in the one or the other direction. This is one of the most dangerous illusions. The moment we stand still, we begin to decay.
Zoltan Istvan, The Transhumanist Wager|From our first day alive on this planet, they began teaching society everything it knows and experiences. It was all brainwashing bullshit. Their trio of holy catechisms is: faith is more important than reason; inputs are more important than outcomes; hope is more important than reality. It was designed to choke your independent thinking and acting—to bring out the lowest common denominator in people—so that vast amounts of the general public would literally buy into sponsorship and preservation of their hegemonic nation. Their greatest achievement was the creation of the two-party political system; it gave only the illusion of choice, but never offered any change; it promised freedom, but only delivered more limits. In the end, you got stuck with two leading loser parties and not just one. It completed their trap of underhanded domination, and it worked masterfully. Look anywhere you go. America is a nation of submissive, dumbed-down, codependent, faith-minded zombies obsessed with celebrity gossip, buying unnecessary goods, and socializing without purpose on their electronic gadgets. The crazy thing is that people don't even know it; they still think they're free. Everywhere, people have been made into silent accomplices in the government's twisted control game. In the end, there is no way out for anyone.
B.F. Skinner, Science and Human Behavior|Severe punishment unquestionably has an immediate effect in reducing a tendency to act in a given way. This result is no doubt responsible for its widespread use. We 'instinctively' attack anyone whose behavior displeases us - perhaps not in physical assault, but with criticism, disapproval, blame, or ridicule. Whether or not there is an inherited tendency to do this, the immediate effect of the practice is reinforcing enough to explain its currency. In the long run, however, punishment does not actually eliminate behavior from a repertoire, and its temporary achievement is obtained at tremendous cost in reducing the over-all efficiency and happiness of the group. (p. 190)
Luc Ferry, A Brief History of Thought: A Philosophical Guide to Living|Countries which have a different base, for example, a Christian one (or at least one with the memory of a Christian foundation) may indeed act most inconsistently and horribly. But when a state with a materialistic base acts arbitrarily and gives no dignity to man, internally or externally, it is being consistent to its basic presuppositions and principles.
Terry Tempest Williams|Never had he thought, never once, that such a woman existed, one who stood so close to God that God's own voice poured from her. How far she must have gone inside herself to call up that voice. It was as if the voice came from the center part of the earth and by the sheer effort and diligence of her will she had pulled it up through the dirt and rock and through the floorboards of the house, up into her feet, where it pulled through her, reaching, lifting, warmed by her, and then out of the white lily of her throat and straight to God in heaven. It was a miracle and he wept for the gift of bearing witness.
Amy E. Reichert, The Coincidence of Coconut Cake|Lou hoisted up her gown and winced as she tottered across the parking lot. The sparkly four-inch heels had looked so pretty in the box, but they felt like a mortar and pestle grinding each bone in her foot. She missed her green Crocs.Lou plucked at the tight elastic, squeezing her under the sleek black dress her fiancé, Devlin, had given her. He walked five steps ahead of her, so she scurried to catch up."Overstuffed truffle and foie gras sausage," Lou said.Devlin's face crinkled in confusion. "What?""It's a new dish, inspired by how I feel in these clothes. Maybe served over brown butter dumplings..." Lou tilted her head, visualizing the newly formed meal.
Kenneth Goldsmith|Imagine a weary sailor coming home to port in the midst of a brutal storm. Along the horizon he sees the burning lights of dozens of lighthouses. And yet he knows from experience that some are so old they've receded miles inland as the shore has grown. Others are simply fakes, put out by sadists and rivals. To be a citizen in these strange times is to perpetually find oneself in that poor sailor's perilous state. We know that danger lurks in the darkness, but we don't know if we have the means to avoid it.
Jane Austen, Love and Friendship|I tossed my shoulders and swaggered away, whistling with pleasure. In the gutter I saw a long cigaret butt. I picked it up without shame, lit it as I stood with one foot in the gutter, puffed it and exhaled toward the stars. I was an American, and goddamn proud of it.
Richard Lischer, Open Secrets: A Memoir of Faith and Discovery|I listened impatiently to the wisdom of the O'Neills for about twenty minutes until I could take no more (by this time Steve and Susan had me thumbing through the paperback). I slid the book across the desk at them and said, 'This is so much shit.'That was a mistake because the word 'shit' on the lips of a pastor deeply offended their moral sensibilities. Such was the state of things among us. They took grave exception to the word SHIT, while I was expected to remain noddingly neutral toward their adultery. WELL, SHIT, I thought. Without apologizing, I tried to convince them I was merely 'upset' by the prospects of their separation. Gradually, I achieved the clinical tone that they so admired in the O'Neills and evidently expected in their country parson.
Cassandra Clare, Clockwork Princess|Of course you can have a true Shadowhunter name," Will said. "You can have mine."Tessa stared at him, all black and white against the black-and-white snow and stone. "Your name?"Will took a step toward her, till they stood face-to-face. Then he reached to take her hand and slid off her glove, which he put into his pocket. He held her bare hand in his, his fingers curved around hers. His hand was warm and callused, and his touch made her shiver. His eyes were steady and blue; they were everything that Will was: true and tender, sharp and witty, loving and kind. "Marry me," he said. "Marry me, Tess. Marry me and be called Tessa Herondale. Or be Tessa Gray, or be whatever you wish to call yourself, but marry me and stay with me and never leave me, for I cannot bear another day of my life to go by that does not have you in it.
Anna Zaires, Hold Me|In your life, you have only one friend. who full filly yours all dream and He/She everything do for you and stay with you always and one bigger think is he/she all do for yours smile without any selfiness
Andy Reid|The PC is successful because we're all benefiting from the competition with each other. If Twitter comes along, our games benefit. If Nvidia makes better graphics technology, all the games are going to shine. If we come out with a better game, people are going to buy more PCs.
Lesley Nicol|Howard Dean has been successful because he was clear in his opposition to the war. People appreciate a politician with the courage to say, I oppose this war.
Richelle E. Goodrich, Smile Anyway|Rainy, gloomy, drab, sunless day.  There are times when hope seems entirely clouded over, when looking for the blessings in your circumstances feels like trying to catch a ray of sunshine from six feet under.
Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making|Wishes of one's old life wither and shrivel like old leaves if they are not replaced with new wishes when the world changes. And the world always changes. Wishes get slimy, and their colors fade, and soon they are just mud, like all the rest of the mud, and not wishes at all, but regrets. The trouble is, not everyone can tell when they ought to launder their wishes. Even when one finds oneself in Fairyland and not at home at all, it is not always so easy to remember to catch the world in it's changing and change with it.
Carrie Snow|We must ensure that technology is accessible, affordable, and adds value.
Dianne Sylvan, Queen of Shadows|She was famous, and she was insane.Her voice soared out over the audience, holding them spellbound and enraptured, delivering their hopes and fears tangled in chords and rhythm. They called her an angel, her voice a gift.She was famous, and she was a liar.
E.F. Benson, Monster Mix|As much as he cared for Kaitlin, he knew that the clan’s survival was much more important that his own heart. Without her, he would be heartbroken all over again. He would lose her just as he had lost Angela with no hope of ever seeing her again, but he could run the clan with a broken heart. He would be a stronger, more feared leader without her, but he was sure that if Kaitlin had known his reasoning, she would have understood. She was the only one to understand him.
Bernard Kelvin Clive|Many business people end up being relationship rich, and referral poor.
Richard E. Grant|He that cannot forgive others, breaks the bridge over which he himself must pass if he would ever reach heaven; for everyone has need to be forgiven.
Mensah Oteh|Never start the day until you already have it designed, finished and documented.
J. Lynn, Unchained|What?" she asked."You're beautiful."She rolled her eyes. "Flattery will get you laid.""I sure hope so.
Ilya Ilf|[Walmart]s largest innovation consists in getting rid of the central Fordist principle of paying the workers enough so that they can afford to buy what they manufacture. Instead, WalMart has pioneered the inverse principle: paying the workers so little that they cannot afford to shop anywhere other than at WalMart. It might even be said, not too hyperbolically, that WalMart has singlehandedly preserved the American economy from total collapse, in that their lowered prices are the only thing that has allowed millions of the “working poor” to retain the status of consumers at all, rather than falling into the “black hole” of total immiseration. WalMart is part and parcel of how the “new economy” has largely been founded upon transferring wealth from the less wealthy to the already-extremely-rich. 
Bruce Crown, How Dim the Promised Land|I'd known since I was a child that I was going to live in New York eventually, and that everything in between would just be an intermission. I'd spent all those years imagining what New York was going to be like. I thought it was going to be the most exciting, magical, fraught-with-possibility place that you could ever live; a place where if you really wanted something you might be able to get it; a place where I'd be surrounded by people I was dying to know; a place where I might be able to become the only thing worth being, a journalist. And I'd turned out to be right.
Graham Greene, The Heart of the Matter|Lasik surgery has evolved. Remarkably, it has merged with cataract surgery to give birth to a new procedure called Prelex.
Sarah Dessen, Saint Anything|We were there, together, and in the next room I could hear that monitor beeping. Keeping track of another heart’s beat and giving enduring, solid proof of our own.
Luke Edison, Valcarion: Sacrifices|It is good to be willing to stand as a hero, but you must also be willing to fall as a hero
J. Gresham Machen|The sage of Nazareth may satisfy those who have never faced the problem of evil in their own lives; but to talk about an ideal to those who are under the thralldom of sin is a cruel mockery. Yet if Jesus was merely a man like the rest of men, then an ideal is all that we have in Him. Far more is needed by a sinful world. It is small comfort to be told that there was goodness in the world, when what we need is goodness triumphant over sin. But goodness triumphant over sin involves an entrance of the creative power of God, and that creative power of God is manifested by the miracles. Without the miracles, the New Testament might be easier to believe. But the thing that would be believed would be entirely different from that which presents itself to us now. Without the miracles we should have a teacher; with the miracles we have a Savior.
NisiOisiN|Nudity and explicit sex are far more easily available now than are clear images of death. The quasi-violence of movies and television dwells on the lively acts of killing – flying kicks, roaring weapons, crashing cars, flaming explosions. These are the moral equivalents of old-time cinematic sex. The fictional spurting of gun muzzles after flirtation and seduction but stop a titillating instant short of actual copulation. The results of such aggressive vivacity remain a mystery. The corpse itself, riddled and gaping, swelling or dismembered, the action of heat and bacteria, of mummification or decay are the most illicit pornography.
Sami Abouzid|You Keep Looking at what you want but you can’t have it , and once you have it it will never be the same.
Martha Heller, Be the Business: CIOs in the New Eras of IT|Life only gives opportunities, not offers
Danielle Keopke|When you find yourself drowning in self-hate, you have to remind yourself that you weren’t born feeling this way. That at some point in your journey, some person or experience sent you the message that there was something wrong with who you are, and you internalized those messages and took them on as your truth. But that hate isn’t yours to carry, and those judgments aren’t about you. And in the same way that you learned to think badly of yourself, you can learn to think new, self-loving and accepting thoughts. You can learn to challenge those beliefs, take away their power, and reclaim your own. It won’t be easy, and it won’t happen over night. But it is possible. And it starts when you decide that there has to be more to life than this pain you feel. It starts when you decide that you deserve to discover it.
Joseph Conrad, Heart of Darkness|The mind of man is capable of anything--because everything is in it, all the past as well as all the future. What was there after all? Joy, fear, sorrow, devotion, valor, rage--who can tell?--buttruth--truth stripped of its cloak of time.
A. Zavarelli, Echo|His heart is the rhythm, mine is the echo.
Teresa Lo|For that short space of time, she forgot she was sad and a little afraid. She let herself forget that after tonight, she might never see him again and that if she did, whatever it was between them would no longer exist.When he deepened the kiss and his weight pressed her against the ground, she forgot everything, losing herself in a wave of sensation that carried no threat, inspired no fear, and belonged to no one but her.
Rick Riordan, The Lightning Thief|God alert!" Blackjack yelled. "It's the wine dude!Mr. D sighed in exasperation. "The next person, or horse, who calls me the 'wine dude' will end up in a bottle of Merlot!
Suzanne Wright, Feral Sins|I don’t need words, I just need you to come back.” - Taryn
Larry Page|The genius of a good leader is to leave behind him a situation which common sense, without the grace of genius, can deal with successfully.
Marsha Hinds|People hate to see their vices depicted, but vice is terrible and it should be depicted.
Michael Specter|I have struggled for decades now with the fear of and resistance to change - mostly in the realms of technology, transportation, and the ways people choose to communicate. If I had a theme song, it would be that lovely song 'I'm Old-Fashioned,' as sung by Ella Fitzgerald.
N.T. Wright, After You Believe: Why Christian Character Matters|Financial crashes happen precisely because the people who remember the last one have either died or retired and thus are no longer around, with memories and character formed by that previous experience, to warn people not to be irresponsible.
William Shakespeare|...that's the way to tell a true story from a made-up one. A made-up story always has a neat and tidy end. But true stories don't end, at least until their heroes and heroines die, and not then really because the things they did and didn't do, sometimes live on.
Margaret Atwood, The Handmaid's Tale|Men and women tried each other on, casually, like suits, rejecting whatever did not fit.
R. Buckminster Fuller|If a guy is intimidated by a woman in leadership, he has real problems with his own concepts of masculinity. That's a harsh statement, but I believe it to be true.
Charles Bukowski, You Get So Alone at Times That it Just Makes Sense|the worst thing," he told me,"is bitterness, people end up sobitter.
Richelle E. Goodrich, Slaying Dragons|Integrity is more than truth and honesty; integrity is an unshackled mind, a happy heart, and a light spirit. Integrity is inner peace with a clear, clean conscience. Integrity is self-respect, honor, and credibility. Integrity is healthy and unfettering, and it is worth defending.
J.C. Nelson, Free Agent|Grimm always used rabbits, on account of a grudge he had with the Easter Bunny. I’d had a pet rabbit when I was little, and the first time I saw an augury I think I managed to throw up and faint at the same time. After that, Grimm had it done without me. Not that it mattered. After six years in this business, I’d gut Thumper himself for an ounce of Glitter.
J. Limbu, Anemone: The Windflower|I would dream of a place, a place to shelter all my madness.
Ben Affleck|As much as I would love to do roles in big movies and am keen to establish myself in the industry. I don't want to sacrifice things that I really enjoy, like spending time with my family and friends.
Haile Selassie I|We must become bigger than we have been: more courageous, greater in spirit, larger in outlook. We must become members of a new race, overcoming petty prejudice, owing our ultimate allegiance not to nations but to our fellow men within the human community.
Kellie Elmore|This town of churches and dreams; this town I thought I would lose myself in, with its backward ways and winding roads leading to nowhere; but, I found myself instead. -Magic in the Backyard (excerpt from American Honey)
Miles Watson, Cage Life|We’ve got DNA tests; we can convict someone by his saliva. Hell, if the killer had farted in that house the forensic team would probably have some gadget that could pick it up. How can the crime scenes be so clean?
Neal Shusterman, Red Rider's Hood|You can't imagine what it's like to be torn between darkness and light- to be a traitor no matter what move you make. If my grandmother and Marissa died tonight, it would be because I had stayed in the darkness too long, flirting with the idea of being Cedric's consigliere. If that happened, I could never live with myself- but if Cedric gave me the bite as he planned, I would be forced to live with it forever. That was the worst hell I could imagine.
Richard N. Bolles, What Color Is Your Parachute? 2012: A Practical Manual for Job-Hunters and Career-Changers|They taught me in the Army to make plans based upon the other guy's capabilities, and not based upon his stated intentions. And an employer is capable of firing you at any time.
Elisabeth Elliot, These Strange Ashes|Christ is sufficient. We do not need "support groups" for each and every separate tribulation. The most widely divergent sorrows may all be taken to the foot of the same old rugged cross and find there cleansing, peace, and joy.
Arthur Golden, Memoirs of a Geisha|Can't you see? Every step I have taken, since I was that child on the bridge, has been to bring myself closer to you. 
Matshona Dhliwayo|A smile is worth dozens of words, but a kiss is worth a thousand.
Michael Greger|If what is communicated is false, it can hardly be called communication.
Steven Magee|If you don't pay the price for success, you'll pay the price for failure.
Katja Millay, The Sea of Tranquility|I live in a world without magic or miracles. A place where there are no clairvoyants of shapeshifters, no angels or superhuman boys to save you. A place where people die and music disintegrates and things suck. I am pressed so hard against the earth by the weight of reality that some days I wonder how I am still able to lift my feet and walk.
Cassie Graham, Unable to Resist|It's a lost and lonely kind of feeling,To wake up wearing a disguise.I lie in bed staring at the ceiling, I don't know who I am There's little that I canFully recognize....But I'm taking small steps,'Cause I don't know where I'm going.I'm taking small stepsAnd I don't know what to say.Small steps, Trying to pull myself together, And maybe I'll discover A clue along the way....Just to make it through the day and not to get hurt,Seems about the best that I can hope.Like coffee stains splattered on your sweatshirt There isn't any pattern. Everything's uncertain.It's difficult to cope....But I'm taking small steps,'Cause I don't know where I'm going.I'm taking small steps,And I've forgotten how to play.Small steps, Trying to pull myself together, And maybe I'll discover,A clue along the way....And if someday my small steps bring me near you,Please don't rush to tell me all you feel.You don't have to speak for me to hear you. If I softly sigh, Look me in the eyeAnd let me know I'm real....Then we'll take small steps,'Cause we won't know where we're going.We'll take small steps,And we'll have too much to say.Small steps, Hand in hand we'll walk together, And maybe we'll discover A clue along the way....Small steps,'Cause I don't know where I'm goin'.Small steps,I just take it day to day.Small steps, Somehow get myself together, Then maybe I'll discoverWho I am on the way....
Hideo Kojima|Adidas is just right. They've been, like, a partner I couldn't be more thankful for. I really feel like they've helped increase my popularity. You know? It's tight to be able to attach to their brand and be able to add whatever I can offer to their brand. It's nice to know that they appreciate it. They are always showing love.
Bill Buford, Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany|In normal life, "simplicity" is synonymous with "easy to do," but when a chef uses the word, it means "takes a lifetime to learn.
Margaret Atwood, Alias Grace|In terms of technological progress,the public is slower than focus group.
Cassandra Clare, The Bane Chronicles|He lifted a glass. Ragnor and Catarina did not join him, but Magnus was happy to make the toast on his own. "To adventure," he said, and drank.
Zsa Zsa Gabor|I've always thought of, of a relationship with an actor to an audience as a marriage, you know. And a story, you know. And there are ups and downs, and you work through them, and you work with them.
Gugu Mona|When you imitate others in real life, you deny the world benefits of your uniqueness. So be who you were born to be!.
Carlos Ruiz Zafón, The Shadow of the Wind|Cada vez que un libro cambia de manos, cada vez que alguien desliza la mirada por sus páginas, su espíritu crece y se hace fuerte. (Sempere)
Daniel Quinn, Ishmael|There is a great difference between successfulness and fruitfulness. Success comes from strength, control, and respectability. A successful person has the energy to create something, to keep control over its development, and to make it available in large quantities. Success brings many rewards and often fame. Fruits, however, come from weakness and vulnerability. And fruits are unique. A child is the fruit conceived in vulnerability, community is the fruit born through shared brokenness, and intimacy is the fruit that grows through touching one another's wounds. Let's remind one another that what brings us true joy is not successfulness but fruitfulness.
Pearl  Zhu, Unpuzzling Innovation: Mastering Innovation Management in a Structural Way|Innovation journey is like taking a hiking trip at the trail very few or even no people ever went before, it takes courage and emotional maturity.
Kahlil Gibran, The Broken Wings|The appearance of things changes according to the emotions; and thus we see magic and beauty in them, while the magic and beauty are really in ourselves.
Narendra Modi|We are not overpopulated in an absolute sense; we've got the technology for 10 billion, probably 15 billion people, to live on this planet and live good lives. What we haven't done is developed our technology.
Sheikh Zayed Al Nahyan|Wealth is not money. Wealth lies in men. This is where true power lies, the power we value. This is what has convinced us to direct all our resources to building the individual, and to using the wealth which God has provided us in the service of the nation.
W.E.B. Du Bois, The Souls of Black Folk|They do not expect that the free right to vote, to enjoy civic rights, and to be educated, will come in a moment; they do not expect to see the bias and prejudices of years disappear at the blast of a trumpet; but they are absolutely certain that the way for a people to gain their reasonable rights is not by voluntarily throwing them away and insisting that they do not want them; that the way for a people to gain respect is not by continually belittling and ridiculing themselves; that, on the contrary, Negroes must insist continually, in season and out of season, that voting is necessary to modern manhood, that color discrimination is barbarism, and that black boys need education as well as white boys.
Delphine de Vigan, No and Me|Work on a good piece of writing proceeds on three levels: a musical one, where it is composed; an architectural one, where it is constructed; and finally, a textile one, where it is woven.
James D. Sass, Essays in Satanism|Place yourself... You are either a.) part of the problem; b.) part of the solution, or c.) part of the landscape.
W. Bruce Cameron, A Dog's Purpose|My purpose, my whole life, had been to love him and be with him, to make him happy. I didn’t want to cause any unhappiness now—in that way, I decided it was probably better than he wasn’t here to see this, though I missed him so much at that moment the ache of it was as bad as the strange pains in my belly.
Neal Shusterman, Everwild|The roaring of lions, the howling of wolves, the raging of the stormy sea, and the destructive sword, are portions of eternity, too great for the eye of man.
Roshan Sharma|Every time you find your attention captured by a poster, your awareness, and perhaps something more, has, if only for a moment, been appropriated without your consent.
Tibor Fischer, Good To Be God|Stay cool, and wait for opportunity.
Madison Thorne Grey, Magnificence|We are immortal beings, Thristan. You cannot hate me throughout all eternity.
Nevil Shute, Round the Bend|How stupid lovers can be! But if they were not, there would be no story.
Mehmet Murat ildan|Darkness well ahead is better than darkness close by, because you can find a way to avoid the former! Search the horizons to see the storms ahead.
Lina Wertmuller|While the notion that torture works has been glorified in television shows and movies, the simple truth is this: torture has never been an effective interrogation method.
Marissa Meyer, Winter|The huntsman took pity on her and said, "Run away into the woods, child, and never come back.
Debasish Mridha|You will get what you want, but you have to expect it with your open heart.
Holly Smale, Picture Perfect|Why do you always rescue me?" — "Every Cinderella needs a fairy godmother. But sometimes your fairy godmother needs you right back.
Shanice Williams|I love kimonos because you can just throw them on over anything. Ever since I got my first kimono from Lane Bryant in high school and thought, 'This is amazing; I can wear it with everything!'
Max von Sydow|Mr. Bergman had a great imagination and saw the possibilities within every one of his actors, and he gave us great challenges. It was very inspiring.
Shannon L. Alder|If you want to heal your heart surround yourself with people that won't tell you hating other people is how you get over being hurt. Surround yourself with people that will tell you to be more like Christ and reach out to those you don't understand or are offended by. Bitter insecure and anxious people will tell you everything you need to hear to help you move on, but very little of it will be the true teachings of Christ.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|For the vile human pigs in life; the sloppy, disheveled, uncaring dregs, the ungrateful, and especially for the vicious, negative emotional peasants — there will only continue to be the hard and painful lessons you so desperately need. The invisible hand will hold you in your wretched place until your last breath — unless you evolve. If you are cruel and ignorant the invisible fist will pound you into oblivion until you submit, humble yourself and soften your hard heart.
Anonymous, Holy Bible: King James Version|Faith is the substance of things hoped for, the evidence of things not seen. (Hebrew 11:1 KJV)
Beth Revis, A Million Suns|Elder mocked me for praying once, and i spent an hour berating him for that. He ended up throwing up his hands, laughing, and telling me i could believe whatever i wanted if i was going to hold onto my beliefs so hard.
Chase Brooks|Tyler and me at the edge of the roof, the gun in my mouth, I'm wondering how clean this gun is.
Jennifer Hudson Taylor, Highland Sanctuary|There is no lifeguard on duty. We each swim at our own risk during this short journey." ~ Lisa Fantino/Amalfi Blue
Angie karan|I make a point to appreciate all the little things in my life. I go out and smell the air after a good, hard rain. I re-read passages from my favorite books. I hold the little treasures that somebody special gave me. These small actions help remind me that there are so many great, glorious pieces of good in the world.
Susan Catalano, The Timeless Ones|...The discrepancy is that the ethical self should be found immanently in the despair, that the individual won himself by persisting in the despair. True, he has used something within the category of freedom, choosing himself, which seem to remove the difficulty, one that presumably has not struck many, since philosophically doubting everything and then finding the true beginning goes one, two, three. But that does not help. In despairing, I use myself to despair, and therefore I can indeed despair of everything by myself. But if I do this, I cannot come back by myself. It is in this moment of decision that the individual needs divine assistance, whereas it is quite correct that in order to be at this point one must first have understood the existence-relation between the aesthetic and the ethical; that is to say, by being there in passion and inwardness, one surely becomes aware of the religious - and of the leap.
William L. Rowe, God and the Problem of Evil|1) There exist instances of intense suffering which an omnipotent, omniscient being could have prevented without thereby losing some greater good or permitting some evil equally bad or worse.2) An omniscient, wholly good being would prevent the occurrence of any intense suffering it could, unless it could not do so without thereby losing some greater good or permitting some evil equally bad or worse.3) (Therefore) There does not exist an omnipotent, omniscient, wholly good being.
Fritz Zwicky|Miss Taylor says kids that are colored can't go to my school cause they're not smart enough." I come round the counter then. Lift her chin up and smooth back her funny-looking hair. "You think I'm dumb?" "No," she whispers hard, like she means it so much. She look sorry she said it. "What that tell you about Miss Taylor, then?" She blink, like she listening good. "Means Miss Taylor ain't right all the time," I say. She hug me around my neck, say, "You're righter than Miss Taylor." I tear up then. My cup is spilling over. Those is new words to me.
Kristen Ashley, Lady Luck|For over 10 years I worked in the dating, sex and relationship fields, so combining everything I learned into my first fictional adventure romance was a blast and a true labor of love. After all the years I spent advising people on how to date, marry and have great sex, it was exciting to tell a very modern story of a woman in her late 30s working to get the wrong guy out of her life, just as Mr. Right comes along.
David W. Earle|Too many codeine pills,Too many nights of cold chillsToo many weak-handed dealsToo many lives, the addict steals
Rick Yancey, The 5th Wave|I brought Sammy inside and put him to bed. Said his prayer with him. “‘Now I lay me down to sleep…’” To me, just random noise. Gibberish. I wasn’t sure exactly what it was, but I felt that, when it came to God, there was a broken promise in there somewhere.
Ernest Hemingway, In Our Time|In the early morning on the lake sitting in the stern of the boat with his father rowing, he felt quite sure that he would never die.
Karl Dönitz|Within the church, it is possible for believers to possess a profound unity based on a shared commitment to Biblical truth, an intimate knowledge of the Lord Jesus Christ, and a deep level of spiritual maturity. Paul also adds "sound doctrine" and "growing in Christlikeness" as additional benefits that result from the saints being properly equipped to build up the body of Christ."(Comments on Ephesians 4 vs 11-13)
Leo Strauss|Virtues are acquired through endeavor, which rests wholly upon yourself.
Maggie Stiefvater, Blue Lily, Lily Blue|Instead, though, as he drew nearer, his mind kept drifting back to Gansey's voice in the cave the day before. The tremulous note in it. The fear - a fear so profound that Gansey could not bring himself to climb out of the pit, though there was nothing physically preventing him. He had not known that Richard Gansey III had it in him to be a coward.Adam remembered crouching on the kitchen floor of his parents' double-wide, telling himself to take Gansey's oft-repeated advice to leave. "Just put what you need in the car, Adam."But he had stayed. Hung in the pit of his father's anger. A coward, too.Adam felt like he needed to reconfigure every conversation he'd ever had with Gansey in light of this new knowledge.
